Listing Title,Airbnb URL,Listing ID,Estimated Rental Revenue (Range),Estimated Rental Revenue (Median),Estimated ADR,Estimated Adjusted Occupancy,Active days,Booking Window,Length of Stay,Dynamic Pricing,Min Stay,Professionally Managed,Bathrooms,Max Guests,Listed Price,Listing Type,Is Active,Economic Category,Blocked Days,Rating,Reviews,Beachfront,Hot Tub,EV Charger,Kitchen,Pool,Pets Allowed,Smoking Allowed,Air Conditioning,Cleaning Fee,Guest Favorite,Host ID,Cancellation Policy
"Sunfilled Top Area Private 1-Bedroom Apartment","https://www.airbnb.com/rooms/1511651814933211840","1511651814933211840","2672-4141","3481","74.07","34","139","17","27","None","28","Small","1.0","3","94","Entire rental unit","Yes","Midscale","3","5","1","No","No","No","Yes","No","No","No","Yes","N/A","N/A","39636814","Flexible"
"Bright And Nicely Furnished 1 Bedroom Apartment","https://www.airbnb.com/rooms/40113200","40113200","2890-4587","3771","43.85","78","110","6","34","None","1","Individual","1.0","3","60","Entire rental unit","Yes","Economy","50","5","3","No","No","No","Yes","No","No","No","No","0","N/A","309558706","Strict"
"Private Bachelor Studio/kitchen/parking/wifi/TV","https://www.airbnb.com/rooms/869761294959961894","869761294959961894","2996-4527","3805","53.6","42","171","20","27","None","31","Large","1.0","1","61","Entire rental unit","Yes","Economy","195","4.85","N/A","No","No","No","Yes","No","No","No","No","0.0","N/A","105605194","Flexible"
"Stylish One Bedroom Unit","https://www.airbnb.com/rooms/1450142086482567916","1450142086482567916","2956-4487","3870","113.82","30","113","1","27","High","28","Moderate","1.0","2","159","Entire rental unit","Yes","Midscale","139","5","2","No","No","No","Yes","Yes","No","No","Yes","N/A","N/A","5988339","Flexible"
"Boutique Apt UptownToronto Yonge&Eg","https://www.airbnb.com/rooms/12796693","12796693","2957-4489","3872","67.93","100","57","39","53","None","31","Small","1.0","2","116","Entire rental unit","Yes","Midscale","309","4.58","50","No","No","No","Yes","No","No","No","Yes","0.0","N/A","35499709","Firm"
"Oversized Loft | 2 Floors | Yorville/Annex","https://www.airbnb.com/rooms/1579884290939503803","1579884290939503803","2964-4560","3912","195.6","77","26","2","7","None","2","Individual","1.5","2","247","Entire rental unit","Yes","Upscale","23","5","2","No","No","No","Yes","No","No","No","Yes","N/A","N/A","9442547","Limited"
"Fully Furnished Oasis","https://www.airbnb.com/rooms/1328621793089387673","1328621793089387673","3111-4660","3971","66.18","91","66","N/A","51","None","28","Individual","1.0","2","78","Entire rental unit","Yes","Midscale","139","5","1","No","No","No","Yes","No","No","No","Yes","N/A","N/A","215535794","Moderate"
"Private Studio W/Private Bath+Parking+Wifi+Laundry","https://www.airbnb.com/rooms/850900763512666881","850900763512666881","3131-4970","4086","49.83","44","187","20","27","None","29","Large","1.0","1","61","Entire rental unit","Yes","Economy","179","5","3","No","No","No","Yes","No","No","No","No","0.0","N/A","174661737","Flexible"
"Cozy Studio Midtown Toronto 33 Floor","https://www.airbnb.com/rooms/1598593668568370299","1598593668568370299","3201-4850","4116","100.4","100","41","5","18","None","28","Individual","1.0","2","120","Entire rental unit","Yes","Midscale","7","N/A","N/A","No","No","No","Yes","Yes","No","No","Yes","N/A","N/A","41553200","Flexible"
"Cozy And Spacious 1br Apartment","https://www.airbnb.com/rooms/1131421418142213286","1131421418142213286","3304-4866","4134","96.14","32","135","4","2","None","28","Individual","1.0","2","118","Entire rental unit","Yes","Midscale","231","N/A","N/A","No","No","No","Yes","No","No","No","No","0.0","N/A","358185338","Flexible"
"Private Space In Oakwood Village (Central Toronto)","https://www.airbnb.com/rooms/912949662835633063","912949662835633063","3315-4745","4156","118.75","13","262","5","23","None","28","Individual","1.0","3","144","Entire home","Yes","Midscale","104","4.82","11","No","No","No","Yes","No","No","No","Yes","36.0","N/A","519777095","Flexible"
